t,x,v,a,id,length,lane,oldLane,pos,event
88.0,845.02,45.6163,-0.004241734964646949,5,4,2,,845.02,timer
88.0,320.01,47.2128,-0.023995860792745537,6,5,2,,320.01,timer
90.0,2088.18,48.2848,0.02199646451037397,3,4,3,,1088.18,leave lane
90.0,2088.18,48.2848,0.02199646451037397,3,4,,,1088.18,end
90.0,1700.63,53.1935,-0.040779819567594196,4,4,3,,700.63,timer
90.0,936.24,45.6078,-0.004241734964646949,5,4,2,,936.24,timer
90.0,414.38,47.1488,-0.03999310132124256,6,5,2,,414.38,timer
92.0,1806.94,53.1119,-0.040779819567594196,4,4,3,,806.94,timer
92.0,1027.45,45.5993,-0.004241734964646949,5,4,2,,1027.45,leave lane
92.0,1027.45,45.5993,-0.004241734964646949,5,4,3,,27.450000000000045,enter lane
92.0,1027.45,45.5993,-0.004241734964646949,5,4,3,,27.450000000000045,timer
92.0,508.59,47.0551,-0.049920741732133386,6,5,2,,508.59,timer
92.65403106563633,0,44.978263489615365,0,7,5,0,,0,enter lane
94.0,1913.08,53.0303,-0.040779819567594196,4,4,3,,913.08,timer
94.0,1118.64,45.5908,-0.004241734964646949,5,4,3,,118.64,timer
94.0,602.6,46.9553,-0.049920741732133386,6,5,2,,602.6,timer
94.0,60.54,44.9833,0.007482583036382857,7,5,0,,60.54,timer
94.0,60.54,44.9833,0.007482583036382857,7,5,0,,60.54,change slow
94.0,60.54,44.9833,0.007482583036382857,7,5,2,0,60.54,enter lane
96.0,2019.06,52.9487,-0.040779819567594196,4,4,3,,1019.06,leave lane
96.0,2019.06,52.9487,-0.040779819567594196,4,4,,,1019.06,end
96.0,1209.81,45.5823,-0.004241734964646949,5,4,3,,209.81,timer
96.0,696.41,46.8555,-0.049920741732133386,6,5,2,,696.41,timer
96.0,152.51,46.9833,1,7,5,2,0,152.51,timer
97.0,199.99,47.9833,1,7,5,2,0,199.99,leave lane
97.0,199.99,47.9833,1,7,5,2,,199.99,done change slow
98.0,1300.97,45.5738,-0.004241734964646949,5,4,3,,300.97,timer
98.0,790.02,46.7557,-0.049920741732133386,6,5,2,,790.02,timer
98.0,247.97,47.9809,-0.004706281344807462,7,5,2,,247.97,timer
100.0,1392.11,45.5653,-0.004241734964646949,5,4,3,,392.11,timer
100.0,883.43,46.6559,-0.049920741732133386,6,5,2,,883.43,timer
100.0,343.92,47.9621,-0.014118844034422385,7,5,2,,343.92,timer
102.0,1483.23,45.5568,-0.004241734964646949,5,4,3,,483.23,timer
102.0,976.64,46.5561,-0.049920741732133386,6,5,2,,976.64,timer
102.0,439.81,47.9244,-0.023531406724037307,7,5,2,,439.81,timer
104.0,1574.34,45.5483,-0.004241734964646949,5,4,3,,574.34,timer
104.0,1069.65,46.4563,-0.049920741732133386,6,5,2,,1069.65,leave lane
104.0,1069.65,46.4563,-0.049920741732133386,6,5,3,,69.65000000000009,enter lane
104.0,1069.65,46.4563,-0.049920741732133386,6,5,3,,69.65000000000009,timer
104.0,535.61,47.8679,-0.03294396941365223,7,5,2,,535.61,timer
104.23578494884087,0,45.45868030151486,0,8,4,2,,0,enter lane
106.0,1665.43,45.5398,-0.004241734964646949,5,4,3,,665.43,timer
106.0,1162.46,46.3565,-0.049920741732133386,6,5,3,,162.46,timer
106.0,631.28,47.7926,-0.04235653210326715,7,5,2,,631.28,timer
106.0,80.2,45.4613,0.0029245865616941377,8,4,2,,80.2,timer
108.0,1756.5,45.5313,-0.004241734964646949,5,4,3,,756.5,timer
108.0,1255.07,46.2567,-0.049920741732133386,6,5,3,,255.07,timer
108.0,726.78,47.7052,-0.04380976155258951,7,5,2,,726.78,timer
108.0,171.13,45.4705,0.006240040150838638,8,4,2,,171.13,timer
110.0,1847.55,45.5228,-0.004241734964646949,5,4,3,,847.55,timer
110.0,1347.48,46.1569,-0.049920741732133386,6,5,3,,347.48,timer
110.0,822.1,47.6176,-0.04380976155258951,7,5,2,,822.1,timer
110.0,262.09,45.4863,0.009555493739983139,8,4,2,,262.09,timer
112.0,1938.59,45.5143,-0.004241734964646949,5,4,3,,938.59,timer
112.0,1439.69,46.0571,-0.049920741732133386,6,5,3,,439.69,timer
112.0,917.25,47.53,-0.04380976155258951,7,5,2,,917.25,timer
112.0,353.08,45.5087,0.012870947329127639,8,4,2,,353.08,timer
114.0,2029.61,45.5058,-0.004241734964646949,5,4,3,,1029.61,leave lane
114.0,2029.61,45.5058,-0.004241734964646949,5,4,,,1029.61,end
114.0,1531.7,45.9573,-0.049920741732133386,6,5,3,,531.7,timer
114.0,1012.22,47.4424,-0.04380976155258951,7,5,2,,1012.22,leave lane
114.0,1012.22,47.4424,-0.04380976155258951,7,5,3,,12.220000000000027,enter lane
114.0,1012.22,47.4424,-0.04380976155258951,7,5,3,,12.220000000000027,timer
114.0,444.13,45.5378,0.01618640091827214,8,4,2,,444.13,timer
115.81753883204541,0,45.25973565307438,0,9,6,7,,0,enter lane
116.0,1623.51,45.8575,-0.049920741732133386,6,5,3,,623.51,timer
116.0,1107.02,47.3548,-0.04380976155258951,7,5,3,,107.02,timer
116.0,535.24,45.5717,0.01703493877574186,8,4,2,,535.24,timer
116.0,8.26,45.2598,0.0007444517573407003,9,6,7,,8.26,timer
116.0,8.26,45.2598,0.0007444517573407003,9,6,7,,8.26,change slow
116.0,8.26,45.2598,0.0007444517573407003,9,6,0,7,8.26,enter lane
118.0,1715.13,45.7577,-0.049920741732133386,6,5,3,,715.13,timer
118.0,1201.64,47.2672,-0.04380976155258951,7,5,3,,201.64,timer
118.0,626.42,45.6058,0.01703493877574186,8,4,2,,626.42,timer
118.0,100.78,47.2598,1,9,6,0,7,100.78,timer
119.0,148.54,48.2598,1,9,6,0,7,148.54,leave lane
119.0,148.54,48.2598,1,9,6,0,,148.54,done change slow
120.0,1806.55,45.6579,-0.049920741732133386,6,5,3,,806.55,timer
120.0,1296.09,47.1796,-0.04380976155258951,7,5,3,,296.09,timer
120.0,717.66,45.6398,0.01703493877574186,8,4,2,,717.66,timer
120.0,196.8,48.2574,-0.0048992305193651005,9,6,0,,196.8,timer
120.0,196.8,48.2574,-0.0048992305193651005,9,6,0,,196.8,change slow
120.0,196.8,48.2574,-0.0048992305193651005,9,6,2,0,196.8,enter lane
122.0,1897.77,45.5581,-0.049920741732133386,6,5,3,,897.77,timer
122.0,1390.36,47.092,-0.04380976155258951,7,5,3,,390.36,timer
122.0,808.97,45.6739,0.01703493877574186,8,4,2,,808.97,timer
122.0,295.31,50.2574,1,9,6,2,0,295.31,timer
123.0,346.07,51.2574,1,9,6,2,0,346.07,leave lane
123.0,346.07,51.2574,1,9,6,2,,346.07,done change slow
124.0,1988.79,45.4583,-0.049920741732133386,6,5,3,,988.79,timer
124.0,1484.46,47.0044,-0.04380976155258951,7,5,3,,484.46,timer
124.0,900.35,45.7079,0.01703493877574186,8,4,2,,900.35,timer
124.0,397.33,51.2553,-0.004203950599717559,9,6,2,,397.33,timer
126.0,2079.61,45.3585,-0.049920741732133386,6,5,3,,1079.61,leave lane
